week,counter,query,date_clear
15.11.2021 - 21.11.2021,713,украинские националисты,21.11.2021
22.11.2021 - 28.11.2021,717,украинские националисты,28.11.2021
29.11.2021 - 05.12.2021,848,украинские националисты,05.12.2021
06.12.2021 - 12.12.2021,873,украинские националисты,12.12.2021
13.12.2021 - 19.12.2021,1075,украинские националисты,19.12.2021
20.12.2021 - 26.12.2021,846,украинские националисты,26.12.2021
27.12.2021 - 02.01.2022,1211,украинские националисты,02.01.2022
03.01.2022 - 09.01.2022,1250,украинские националисты,09.01.2022
10.01.2022 - 16.01.2022,907,украинские националисты,16.01.2022
17.01.2022 - 23.01.2022,958,украинские националисты,23.01.2022
24.01.2022 - 30.01.2022,1307,украинские националисты,30.01.2022
31.01.2022 - 06.02.2022,1266,украинские националисты,06.02.2022
07.02.2022 - 13.02.2022,1421,украинские националисты,13.02.2022
14.02.2022 - 20.02.2022,1667,украинские националисты,20.02.2022
21.02.2022 - 27.02.2022,23431,украинские националисты,27.02.2022
28.02.2022 - 06.03.2022,43786,украинские националисты,06.03.2022
07.03.2022 - 13.03.2022,25151,украинские националисты,13.03.2022
14.03.2022 - 20.03.2022,26821,украинские националисты,20.03.2022
21.03.2022 - 27.03.2022,27540,украинские националисты,27.03.2022
28.03.2022 - 03.04.2022,54632,украинские националисты,03.04.2022
04.04.2022 - 10.04.2022,30597,украинские националисты,10.04.2022
11.04.2022 - 17.04.2022,18880,украинские националисты,17.04.2022
18.04.2022 - 24.04.2022,15539,украинские националисты,24.04.2022
25.04.2022 - 01.05.2022,11301,украинские националисты,01.05.2022
02.05.2022 - 08.05.2022,10743,украинские националисты,08.05.2022
09.05.2022 - 15.05.2022,9845,украинские националисты,15.05.2022
16.05.2022 - 22.05.2022,11823,украинские националисты,22.05.2022
23.05.2022 - 29.05.2022,9392,украинские националисты,29.05.2022
30.05.2022 - 05.06.2022,5913,украинские националисты,05.06.2022
06.06.2022 - 12.06.2022,5970,украинские националисты,12.06.2022
13.06.2022 - 19.06.2022,5067,украинские националисты,19.06.2022
20.06.2022 - 26.06.2022,4655,украинские националисты,26.06.2022
27.06.2022 - 03.07.2022,4101,украинские националисты,03.07.2022
04.07.2022 - 10.07.2022,4054,украинские националисты,10.07.2022
11.07.2022 - 17.07.2022,4564,украинские националисты,17.07.2022
18.07.2022 - 24.07.2022,3478,украинские националисты,24.07.2022
25.07.2022 - 31.07.2022,4080,украинские националисты,31.07.2022
01.08.2022 - 07.08.2022,4056,украинские националисты,07.08.2022
08.08.2022 - 14.08.2022,4666,украинские националисты,14.08.2022
15.08.2022 - 21.08.2022,4097,украинские националисты,21.08.2022
22.08.2022 - 28.08.2022,4188,украинские националисты,28.08.2022
29.08.2022 - 04.09.2022,6214,украинские националисты,04.09.2022
05.09.2022 - 11.09.2022,3364,украинские националисты,11.09.2022
12.09.2022 - 18.09.2022,5711,украинские националисты,18.09.2022
19.09.2022 - 25.09.2022,4445,украинские националисты,25.09.2022
26.09.2022 - 02.10.2022,5485,украинские националисты,02.10.2022
03.10.2022 - 09.10.2022,4914,украинские националисты,09.10.2022
