week,counter,query,date_clear
01.03.2021 - 31.03.2021,450,!вагнера +как попасть,31.03.2021
01.04.2021 - 30.04.2021,461,!вагнера +как попасть,30.04.2021
01.05.2021 - 31.05.2021,775,!вагнера +как попасть,31.05.2021
01.06.2021 - 30.06.2021,2479,!вагнера +как попасть,30.06.2021
01.07.2021 - 31.07.2021,1267,!вагнера +как попасть,31.07.2021
01.08.2021 - 31.08.2021,1580,!вагнера +как попасть,31.08.2021
01.09.2021 - 30.09.2021,1346,!вагнера +как попасть,30.09.2021
01.10.2021 - 31.10.2021,1138,!вагнера +как попасть,31.10.2021
01.11.2021 - 30.11.2021,1093,!вагнера +как попасть,30.11.2021
01.12.2021 - 31.12.2021,1525,!вагнера +как попасть,31.12.2021
01.01.2022 - 31.01.2022,2727,!вагнера +как попасть,31.01.2022
01.02.2022 - 28.02.2022,3154,!вагнера +как попасть,28.02.2022
01.03.2022 - 31.03.2022,8058,!вагнера +как попасть,31.03.2022
01.04.2022 - 30.04.2022,2966,!вагнера +как попасть,30.04.2022
01.05.2022 - 31.05.2022,2962,!вагнера +как попасть,31.05.2022
01.06.2022 - 30.06.2022,3322,!вагнера +как попасть,30.06.2022
01.07.2022 - 31.07.2022,4210,!вагнера +как попасть,31.07.2022
01.08.2022 - 31.08.2022,5476,!вагнера +как попасть,31.08.2022
01.09.2022 - 30.09.2022,23878,!вагнера +как попасть,30.09.2022
01.10.2022 - 31.10.2022,31997,!вагнера +как попасть,31.10.2022
01.11.2022 - 30.11.2022,19132,!вагнера +как попасть,30.11.2022
01.12.2022 - 31.12.2022,15495,!вагнера +как попасть,31.12.2022
01.01.2023 - 31.01.2023,31412,!вагнера +как попасть,31.01.2023
01.02.2023 - 28.02.2023,23006,!вагнера +как попасть,28.02.2023
01.03.2023 - 31.03.2023,18929,!вагнера +как попасть,31.03.2023
01.03.2021 - 31.03.2021,96030,!добровольцев,31.03.2021
01.04.2021 - 30.04.2021,109622,!добровольцев,30.04.2021
01.05.2021 - 31.05.2021,101754,!добровольцев,31.05.2021
01.06.2021 - 30.06.2021,92817,!добровольцев,30.06.2021
01.07.2021 - 31.07.2021,82528,!добровольцев,31.07.2021
01.08.2021 - 31.08.2021,82707,!добровольцев,31.08.2021
01.09.2021 - 30.09.2021,93171,!добровольцев,30.09.2021
01.10.2021 - 31.10.2021,106326,!добровольцев,31.10.2021
01.11.2021 - 30.11.2021,115624,!добровольцев,30.11.2021
01.12.2021 - 31.12.2021,141604,!добровольцев,31.12.2021
01.01.2022 - 31.01.2022,96675,!добровольцев,31.01.2022
01.02.2022 - 28.02.2022,280806,!добровольцев,28.02.2022
01.03.2022 - 31.03.2022,884462,!добровольцев,31.03.2022
01.04.2022 - 30.04.2022,606573,!добровольцев,30.04.2022
01.05.2022 - 31.05.2022,515793,!добровольцев,31.05.2022
01.06.2022 - 30.06.2022,413726,!добровольцев,30.06.2022
01.07.2022 - 31.07.2022,396012,!добровольцев,31.07.2022
01.08.2022 - 31.08.2022,450836,!добровольцев,31.08.2022
01.09.2022 - 30.09.2022,1232664,!добровольцев,30.09.2022
01.10.2022 - 31.10.2022,1628777,!добровольцев,31.10.2022
01.11.2022 - 30.11.2022,956350,!добровольцев,30.11.2022
01.12.2022 - 31.12.2022,737998,!добровольцев,31.12.2022
01.01.2023 - 31.01.2023,732577,!добровольцев,31.01.2023
01.02.2023 - 28.02.2023,733075,!добровольцев,28.02.2023
01.03.2023 - 31.03.2023,729682,!добровольцев,31.03.2023
01.03.2021 - 31.03.2021,181,!добровольцем,31.03.2021
01.04.2021 - 30.04.2021,507,!добровольцем,30.04.2021
01.05.2021 - 31.05.2021,163,!добровольцем,31.05.2021
01.06.2021 - 30.06.2021,125,!добровольцем,30.06.2021
01.07.2021 - 31.07.2021,103,!добровольцем,31.07.2021
01.08.2021 - 31.08.2021,93,!добровольцем,31.08.2021
01.09.2021 - 30.09.2021,101,!добровольцем,30.09.2021
01.10.2021 - 31.10.2021,193,!добровольцем,31.10.2021
01.11.2021 - 30.11.2021,195,!добровольцем,30.11.2021
01.12.2021 - 31.12.2021,207,!добровольцем,31.12.2021
01.01.2022 - 31.01.2022,374,!добровольцем,31.01.2022
01.02.2022 - 28.02.2022,19567,!добровольцем,28.02.2022
01.03.2022 - 31.03.2022,226104,!добровольцем,31.03.2022
01.04.2022 - 30.04.2022,194880,!добровольцем,30.04.2022
01.05.2022 - 31.05.2022,156272,!добровольцем,31.05.2022
01.06.2022 - 30.06.2022,120671,!добровольцем,30.06.2022
01.07.2022 - 31.07.2022,115610,!добровольцем,31.07.2022
01.08.2022 - 31.08.2022,134137,!добровольцем,31.08.2022
01.09.2022 - 30.09.2022,347211,!добровольцем,30.09.2022
01.10.2022 - 31.10.2022,319761,!добровольцем,31.10.2022
01.11.2022 - 30.11.2022,170838,!добровольцем,30.11.2022
01.12.2022 - 31.12.2022,110253,!добровольцем,31.12.2022
01.01.2023 - 31.01.2023,127913,!добровольцем,31.01.2023
01.02.2023 - 28.02.2023,119952,!добровольцем,28.02.2023
01.03.2023 - 31.03.2023,112283,!добровольцем,31.03.2023
01.03.2023 - 31.03.2023,15807,!россию бомбят,31.03.2023
01.04.2021 - 30.04.2021,1057,!россию бомбят,01.04.2021
01.05.2021 - 31.05.2021,809,!россию бомбят,01.05.2021
01.06.2021 - 30.06.2021,580,!россию бомбят,01.06.2021
01.07.2021 - 31.07.2021,581,!россию бомбят,01.07.2021
01.08.2021 - 31.08.2021,620,!россию бомбят,01.08.2021
01.09.2021 - 30.09.2021,734,!россию бомбят,01.09.2021
01.10.2021 - 31.10.2021,1411,!россию бомбят,01.10.2021
01.11.2021 - 30.11.2021,1239,!россию бомбят,01.11.2021
01.12.2021 - 31.12.2021,1717,!россию бомбят,01.12.2021
01.01.2022 - 31.01.2022,1704,!россию бомбят,01.01.2022
01.02.2022 - 28.02.2022,66300,!россию бомбят,01.02.2022
01.03.2022 - 31.03.2022,40944,!россию бомбят,01.03.2022
01.04.2022 - 30.04.2022,63152,!россию бомбят,01.04.2022
01.05.2022 - 31.05.2022,214796,!россию бомбят,01.05.2022
01.06.2022 - 30.06.2022,80378,!россию бомбят,01.06.2022
01.07.2022 - 31.07.2022,53128,!россию бомбят,01.07.2022
01.08.2022 - 31.08.2022,31483,!россию бомбят,01.08.2022
01.09.2022 - 30.09.2022,45450,!россию бомбят,01.09.2022
01.10.2022 - 31.10.2022,107083,!россию бомбят,01.10.2022
01.11.2022 - 30.11.2022,26978,!россию бомбят,01.11.2022
01.12.2022 - 31.12.2022,42727,!россию бомбят,01.12.2022
01.01.2023 - 31.01.2023,25917,!россию бомбят,01.01.2023
01.02.2023 - 28.02.2023,19445,!россию бомбят,01.02.2023
01.03.2023 - 31.03.2023,15807,!россию бомбят,01.03.2023
01.03.2023 - 31.03.2023,15808,!россия бомбит,31.03.2023
01.04.2021 - 30.04.2021,1057,!россия бомбит,01.04.2021
01.05.2021 - 31.05.2021,809,!россия бомбит,01.05.2021
01.06.2021 - 30.06.2021,580,!россия бомбит,01.06.2021
01.07.2021 - 31.07.2021,582,!россия бомбит,01.07.2021
01.08.2021 - 31.08.2021,621,!россия бомбит,01.08.2021
01.09.2021 - 30.09.2021,736,!россия бомбит,01.09.2021
01.10.2021 - 31.10.2021,1415,!россия бомбит,01.10.2021
01.11.2021 - 30.11.2021,1244,!россия бомбит,01.11.2021
01.12.2021 - 31.12.2021,1719,!россия бомбит,01.12.2021
01.01.2022 - 31.01.2022,1706,!россия бомбит,01.01.2022
01.02.2022 - 28.02.2022,66305,!россия бомбит,01.02.2022
01.03.2022 - 31.03.2022,40946,!россия бомбит,01.03.2022
01.04.2022 - 30.04.2022,63158,!россия бомбит,01.04.2022
01.05.2022 - 31.05.2022,214798,!россия бомбит,01.05.2022
01.06.2022 - 30.06.2022,80380,!россия бомбит,01.06.2022
01.07.2022 - 31.07.2022,53129,!россия бомбит,01.07.2022
01.08.2022 - 31.08.2022,31487,!россия бомбит,01.08.2022
01.09.2022 - 30.09.2022,45454,!россия бомбит,01.09.2022
01.10.2022 - 31.10.2022,107090,!россия бомбит,01.10.2022
01.11.2022 - 30.11.2022,26978,!россия бомбит,01.11.2022
01.12.2022 - 31.12.2022,42728,!россия бомбит,01.12.2022
01.01.2023 - 31.01.2023,25918,!россия бомбит,01.01.2023
01.02.2023 - 28.02.2023,19446,!россия бомбит,01.02.2023
01.03.2023 - 31.03.2023,15808,!россия бомбит,01.03.2023
01.03.2021 - 31.03.2021,7108,!украине !будет,31.03.2021
